Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
"DOH nabahala, residenteng apektado ng oil spill sa Mindoro nagkakasakit na",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
ARESTADO ang dalawang pulis dahil sa umano’y  panghahalay sa dalawang babaeng detainee sa Marikina City.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Duterte iginiit na di biro ang rekomendasyong gas bilang disinfectant; grupo ng chemists pumalag,6. Policy Prescription and Evaluation,9. Health and Safety,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
DINAGDAGAN ng Quezon City government ng dalawa ang mga lugar na isasailallim sa special concern lockdown (SCL) upang maiwasan umano ang pagkalat ng coronavirus disease 2019.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
INIHAYAG ni Cavite Governor Jonvic Remulla ang ikalawang kaso ng coronavirus disease (COVID-19) sa lalawigan.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
NIYANIG ng magnitude 2.8 lindol ang Eastern Samar kaninang umaga.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
NILUNOK umano ng 36-anyos driver ng service vehicle ng GMA-7 ang isa sa dalawang sachet ng shabu na nakita ng pulis nang buksan nito ang kanyang wallet para kunin ang kanyang lisensya sa Quezon City kahapon.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Nagbabala ang Philippine Drug Enforcement Agency (PDEA) sa publiko laban sa ilang indibidwal na nagpapanggap bilang ahente ng ahensya.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MAGLALAWAY ka hindi lang sa dala nilang pagkain, pati sa muscle na ipe-flex nila sa harap mo.",15. Other,15. Other,15. Other,15. Other
BALIK-kulungan ang dalawa sa pitong preso na tumakas mula sa,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Hindi pabor si Senador Christopher “Bong” Go na isapribado o buwagin ang PhilHealth.,13. Political,13. Political,13. Political,13. Political
Naniniwala si Cabinet Secretary Karlo Nograles na magiging game changer ang pagtatanim ng Alday Rice para malabanan ang kahirapan sa bansa.,13. Political,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Coronavirus natagpuan sa semilya;  Covid-19 maaaring kumalat sa sex?,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"SA halip na dagdagan, dapat ay bawasan umano ang premium na binabayaran ng mga overseas Filipino workers sa Philippine Health Insurance Corp.",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Pinasusulong ni House Deputy Majority Leader Bernadette Herrera ang isang parallel investigation ang Department of Justice (DOJ) at National Bureau of Investigation (NBI) may kaugnayan sa sinasabing anomalyang sa Philhealth.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
OFWs na gumaling sa COVID mas marami kumpara sa bagong nahawa,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Kasong kriminal vs 301 barangay officials ikinasa sa paglabag sa SAP distribution,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Nagpahayag ng pagkabahala ang isang  medical group sa plano ni House Speaker Lord Allan Velasco na unahing mabakunahan ang may 8,000 kawani ng Kamara de Representantes.",12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
"WATCH: Para sa mga kapatid ni Noynoy, ‘mission accomplished’ na ang dating pangulo",13. Political,13. Political,15. Other,13. Political
"Akala magnanakaw, drug peddler pala","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"UMABOT na sa 27 katao sa Metro Manila ang kabilang sa patients under investigation (PUIs) kaugnay ng novel coronavirus, ayon sa Department of Health (DOH).",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
56 pasyente inoobserbahan sa nCoV-— DOH,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"LABING-isa ang naaresto ng Quezon City Police sa isang buy-bust operation sa Taguig City kung saan nasamsam ang P544,000 halaga ng shabu kagabi.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"HINDI pabor si Interior and Local Government Secretary Eduardo Año na palawigin pa ang Luzon-wide lockdown, pero nagbabala na maaari itong gawin kung magpapatuloy pa ang pagdami ng kaso ng 2019-Coronavirus disease (COVID-19).",13. Political,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
DOH tutol sa mungkahing huwag magsuot ng face shield ang mga manggagawa,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,9. Health and Safety,6. Policy Prescription and Evaluation
HUMINA raw ang kita ng delivery services mula nang sabihin ni Michael V na posibleng isa ito sa dahilan kung bakit siya tinamaan ng COVID-19.,10. Quality of Life,15. Other,10. Quality of Life,10. Quality of Life
Bagyong Ambo bumilis,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Nahaharap sa kasong pangangalunya ang dalawang pulis matapos mahuling magkasama sa isang motel sa bayan ng Talibon sa Bohol nitong Martes.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Pasyenteng may COVID-19 sa QC pinaghahanap na,9. Health and Safety,9. Health and Safety,"7. Law and Order, Crime and Justice",9. Health and Safety
HINDI pinapayagan ng Inter-Agency Task Force on Emerging Infectious Diseases (IATF-EID) ang manicure at pedicure sa mga lugar na nasa ilalim ng  quarantine (GCQ).,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Updated: 1 sugatan sa sunog na tumupok sa 11 bahay,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Proyektong aalisan ng pondo isapubliko–solon,13. Political,13. Political,2. Capacity and Resources,13. Political
SINABI ni Presidential Spokesperson Harry Roque na handa na ang Metro Manila na ilagay sa general  quarantine (GCQ) mula sa kasalukuyang modified  quarantine (MECQ) sa harap naman ng inaasahang public address ni Pangulong Duterte mamayang gabi.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Hazard pay sa workers na malapit sa Taal isinulong,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,10. Quality of Life,6. Policy Prescription and Evaluation
"KINASUHAN ng pulisya ang 57 indibidwal, kabilang ang mga opisyal ng barangay, na pinaboran umano ang mga kapamilya at kaibigan sa pamimigay ng ayuda mula sa Social Amelioration Program (SAP).","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Bagyong Ambo patuloy sa paghina, magiging LPA na lang",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
By providing an email address. I agree to the Terms of Use and acknowledge that I have read the Privacy Policy.,15. Other,15. Other,15. Other,15. Other
"HIV cases sa Negros Occidental talamak na, mga awtoridad naaalarma",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"SA kabila ng kautusan ng Department of Labor and Employment (DOLE) at Department of Trade and Industry (DTI) na bigyan ng personal protective equipment (PPEs)ang kanilang mga empleyado para sa pag-iwas  at pagkontrol sa COVID-19, ilang mga supermarket ang hindi tumutupad dito.",9. Health and Safety,"7. Law and Order, Crime and Justice",9. Health and Safety,9. Health and Safety
IPINATITIGIL ng Bayan Muna ang isinasagawang “Online Tokhang” sa mga tumutuligsa sa gobyerno.,"7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Inaprubahan ng Inter-Agency Task Force ang hirit ng Professional Regulation Commission na magsagawa ng licensure examinations for professionals sa Mayo at Hunyo ngayon taon.,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,10. Quality of Life,6. Policy Prescription and Evaluation
TINIYAK ng Palasyo na aabot sa P250 bilyon hanggang P400 bilyon ang pondong magagamit ng gobyerno kontra coronavirus disease (COVID-19) matapos pirmahan ang Bayanihan to Heal as One Act o Republic Act No. 11469.,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"Buwis sa junk food, fast food iminungkahi",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
NBI inatasan na imbestigahan ang PDEA-PNP shootout sa Quezon City,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
KINUMPIRMA ng Palasyo na binawi na ng Inter-Agency Task Force for the Management of Emerging Infectious Disease (IATF) ang travel ban na naunang ipinatupad laban sa Taiwan.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
US FDA nagbabala: ‘Benadryl Challenge’ sa TikTok nakamamatay,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Hinamon ng think-tank group na Infrawatch PH, si Presidential Anti Crime Commission (PACC) Commissioner Greco Belgica na huwag magkubli at matapang nitong pangalanan ang 12 kongresista na corrupt na pumoporsiyento sa DPWH projects.",13. Political,13. Political,12. Public Opinion,13. Political
"NAKUHAAN umano ng mga baril, bala at patalim ang dalawang lalaki na tinangkang takasan ang mga pulis na sumita sa kanila dahil sila ay magka-angkas sa motorsiklo sa Quezon City.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Benepisyo ng mga manggagawa sa ilalim ng Bayanihan 2 ibigay bago mag-Pasko,10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
NAG-ABISO ang Maynilad Water Services Inc. na magkakaroon ng “water supply interruptions” o kawalan ng suplay ng tubig sa ilang bahagi ng Metro Manila at Cavite.,2. Capacity and Resources,2. Capacity and Resources,10. Quality of Life,2. Capacity and Resources
‘Pink netizens’ nanawagan na isama na si Monsour del Rosario sa senatorial slate ng Leni-Kiko tandem,13. Political,12. Public Opinion,13. Political,13. Political
"NASAWI isang pulis, kagawad, at barangay treasurer sa magkahiwalay na insidente ng pamamaril sa Jovellar, Albay.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"NASAWI ang 23-anyos na estudyante dahil umano sa hazing ng fraternity, sa Bulan, Sorsogon, nitong Linggo, ayon sa pulisya.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Sa harap ng pagbubunyag ni Senator Panfilo Lacson na bilyun-bilyong infrastructure budget insertions ng mga kongresista para sa kanilang mga distrito na ipinaloob sa 2021 national budget ay ang katotohanan naman na may mga sektor ang salat sa pondo batay na rin sa inihayag ni Senate President Pro Tempore Ralph Recto na 2.3 million estudyante ang hindi nakakapagpartisipa sa distance learning dahil wala pa rin kuryente sa maraming lugar sa bansa.,2. Capacity and Resources,4. Fairness and Equality,2. Capacity and Resources,2. Capacity and Resources
"SINISI ngayong gabi ni Pangulong Duterte ang leftist group sa kawalan ng national ID sa bansa na aniya’y maaari sanang magamit para sa mabilis na distribusyon ng P5,000 hanggang P8,000 Social Amelioration Program (SAP).",13. Political,13. Political,10. Quality of Life,13. Political
GINISING ng magnitude 5.4 lindol ang malaking bahagi ng Luzon kabilang na ang Metro Manila kanina.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"2,455 OFWs nahawa ng COVID-19",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Kita ng PCSO ngayong 2020, bagsak",1. Economic,1. Economic,1. Economic,1. Economic
"Bilang ng kaso ng COVID-19 sa Pilipinas, nasa 398,449 na",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"8 nominado para sa bakanteng pwesto sa Korte Suprema, inilabas na",13. Political,13. Political,13. Political,13. Political
NAGSAMA-SAMA ang Anak Mindanao partylist at 58 iba pang civil society groups upang tutulan ang anti-terrorism bill na ipinasa ng Kongreso kamakailan.,13. Political,13. Political,12. Public Opinion,13. Political
Kamara may pagdinig kaugnay ng giyera kontra COVID-19,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"LPA posibleng maging bagyo, asahan ang mas maulan na panahon – PAGASA",9. Health and Safety,10. Quality of Life,9. Health and Safety,9. Health and Safety
NAGPROTESTA ang daan-daang health workers sa harap ng Department of Health (DOH) head office sa Maynila nitong November 24.,12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
Jillian Robredo sinigawan habang nangangampanya sa Baguio City,13. Political,15. Other,13. Political,13. Political
IKiNALUNGKOT ni  on labor and employment chairman Enrico Pineda na kinaladkad pa ng isang Spanish national na inaaresto ng pulis na kanyang binastos ang pangalan ni pambansang kamao at Sen. Manny Pacquiao.,13. Political,13. Political,"7. Law and Order, Crime and Justice",13. Political
"Apollo Quiboloy ‘wanted’ sa FBI, dalawa pang miyembro pinaghahahanap rin","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
2 lugar sa Taguig City balik ECQ,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"INIHAHANDA na ng Department of Trade and Industry ang protocols para sa muling pagbubukas ng mga salons, barbershop at dine-in restaurants para sa mga lugar na nasa  quarantine dulot ng coronavirus pandemic.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
KINASUHAN ng attempted murder ng pulisya sa hilagang China ang lalaki na inilibing nang buhay ang kanyang ina sa abandonadong puntod.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"NAI-TURN over na ng Department of Public Works and Highways (DPWH) sa Inter-Agency Task Force for Management of Emerging Infectious Disease (IATF-EID) at Philippine Coast Guard (PCG) ang “We Heal as One’ Center” sa Philippine Arena Complex sa Bocaue, Bulacan.",2. Capacity and Resources,2. Capacity and Resources,9. Health and Safety,2. Capacity and Resources
"Patuloy na bumubuti ang serbisyo ng internet sa bansa batay sa November 2020 report ng Ookla, ang global leader sa mobile at broadband network intelligence, testing applications at technology.",2. Capacity and Resources,2. Capacity and Resources,15. Other,2. Capacity and Resources
UMABOT sa pitong oras ang sunog sa isang industrial area sa Valenzuela City kagabi.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"KAHIT naka-shutdown ang Brgy. 20 sa Tondo, Maynila ay hindi nagpapapigil ang mga pasaway na residente at nagsilabasan pa rin sa kanila-kanilang mga bahay ang ito.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
3 huli sa P105K shabu,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
INANUNSYO ng Philippine National Police (PNP) na magpapakalat sila ng mas maraming pulis ngayong Christmas season.,8. Security and Defense,8. Security and Defense,"7. Law and Order, Crime and Justice",8. Security and Defense
ISANG mobile rapid screening facility ang binubuo ng Bagong Henerasyon partylist at Rotary International District 3780 para sa mga kompanya na nais ipa-coronavirus disease 2019 test ang kanilang mga empleyado.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
660 eskuwelahan ginagamit na COVID quarantine facility,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
TODO-tanggi ang asawa ni dating Sen. Ferdinand “Bongbong” Marcos Jr. na positibo sa nakamamatay na Covid-19 ang kanyang mister.,9. Health and Safety,9. Health and Safety,15. Other,9. Health and Safety
Walang balak si Pangulong Rodrigo Duterte na i-ban ang operasyon ng Facebook sa Pilipinas.,13. Political,13. Political,13. Political,13. Political
"Heart plano munang gumawa ng teleserye, pelikula bago mabuntis uli",15. Other,15. Other,15. Other,15. Other
"Mayroong 157  flights ang naka-schedule na umalis sa Ninoy Aquino International Airport (NAIA) ngayong araw ng Miyerkules, Disyembre 30.",10. Quality of Life,15. Other,15. Other,15. Other
"NASAWI ang isang 92-anyos na babae nang lamunin ng apoy ang kanyang bahay, sa Daraga, Albay, kaninang madaling-araw.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"UMABOT na sa 1,125,281 libreng sakay sa frontline health workers ang naibigay ng programa ng Department of Transportation sa buong bansa hanggang kahapon.",2. Capacity and Resources,2. Capacity and Resources,10. Quality of Life,2. Capacity and Resources
ECQ alisin sa mga lugar na walang COVID-19 case,9. Health and Safety,6. Policy Prescription and Evaluation,9. Health and Safety,9. Health and Safety
Quezon Rep. Angelina Tan. (Larawan mula sa kanyang Facebook account),15. Other,13. Political,15. Other,15. Other
KINUMPIRMA ng Palasyo na isasailalim sa pagsusuri sa coronavirus diseases (COVID-19) si Pangulong Duterte matapos namang makasalamuha ang ilang opisyal ng Gabinete na nakaharap ang isa sa mga pasyenteng nagpositibo sa deadly virus.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Online licensure exams posible ngayon taon, ayon sa PRC",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
"HALOS 7,000 na ang naisagawang swab test  testing ng Quezon City.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"NAREKOBER ng mga otoridad ang bangkay ng ginang na nawala matapos patayin at ilibing sa bakuran ng umano’y karelasyon nitong lalaki, sa Aborlan, Palawan.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
BINALAAN ni Pangulong Duterte ang mga local government units (LGUs) na hindi susunod sa mga patakaran na ipinalabas ng pambansang gobyerno kaugnay ng  quarantine sa buong Luzon.,13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"BINARIL at napatay ng pulis ang 53-anyos na lalaki na nanghalihaw ng itak sa Infanra, Quezon kaninang Umaga.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Kaso ng COVID-19 umakyat na 33,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
HUWAG na umanong humalik sa partner kung hindi maganda ang pakiramdam.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
MULING ibabalik ang kampanya kontra pulis na malalaki ang tiyan matapos namang ihayag ng National Capital Regional Office (NCRPO) na sisimulan sa susunod linggo ang programa para sa pagpapayat ng mga pulis.,13. Political,6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice",False
Zambales nilindol,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Word war nina Cayetano vs Velasco lumalala,13. Political,13. Political,13. Political,13. Political
NAARESTO sa Quezon City ang no. 1 most wanted person sa Aparri. Cagayan.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
DOH dapat maging proactive sa COVID-19 response,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
24 OFWs nadagdag sa nahawa ng COVID,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
ISANG fire volunteer ang nasugatan sa sunog na tumupok sa tinatayang 20 bahay sa Quezon City kanina.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Aurora niyanig ng magnitude 3.1 lindol,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Hindi muli bababa sa 1,000 ang panibagong kaso ng coronavirus disease o COVID-19 sa Pilipinas.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Reporter na unang naglabas ng larawan ng bday celeb ni Sinas tinanggal sa viber group ng NCRPO,13. Political,13. Political,13. Political,13. Political
Pumalag si Deputy Speaker at Cagayan de Oro Rep. Rufus Rodriguez sa mga kritisismo sa paglobo ng bilang ng mga deputy speakers sa mababang kapulungan ng Kongreso.,13. Political,13. Political,13. Political,13. Political
KINUMPIRMA ng Department of Health ang 32 bagong kaso ng coronavirus disease (COVID-19) Sabado ng tanghali.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
NAGPOSITIBO sa COVID-19 ang isang preso sa New Bilibid Prison (NBP).,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
PUMALO sa 50 degrees Celsius ang pinakamataas na heat index o alinsangan kahapon.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Duterte sa mga LGUs na hindi tatanggap ng OFWs: Magkakagulo tayo,13. Political,13. Political,13. Political,13. Political
MULING ipinagtanggol ni Pangulong Duterte si Health Secretary Francisco Duque III sa harap naman ng mga alegasyon laban sa kanya partikular ang mga umano’y overpriced na PPE.,13. Political,13. Political,13. Political,13. Political
"Pagtawag sa kanya ng ‘bitch’ ni Duterte, panglihis sa tunay na isyu, sabi ni De Lima",13. Political,13. Political,13. Political,13. Political
88% ng Pinoy naniniwalang malalampasan ng PH ang COVID-19–survey,12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
Finance center ng Philippine Army nasunog,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Nalulungkot ang Palasyo ng Malakanyang na mas kaunti ang bilang ng mga Pilipino na maligaya sa bansa ngayong taon kumpara noong nakaraang taon.,10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
Nahawa ng COVID gumaling matapos ang 1 buwang gamutan,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Bulkang Taal sumabog, alert level 2 itinaas",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Queen Elizabeth II pumanaw na sa edad na 96,15. Other,15. Other,15. Other,15. Other
SIMULA sa Lunes ay bibiyahe na ang 980 UV Express sa 47 ruta Metro Manila at mga karatig na lugar.,2. Capacity and Resources,2. Capacity and Resources,10. Quality of Life,2. Capacity and Resources
"P65M jackpot nasungkit sa Isabela, 6/58 jackpot lolobo pa",15. Other,15. Other,15. Other,15. Other
"Chapel, 4 bahay sinunog ng hinihinalang NPA","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"IPINAGTANGGOL ng Palasyo ang pagkakahirang kay Presidential Adviser on the Peace Process Secretary Carlito Galvez, Jr. bilang Chief Implementer ng Inter-Agency Task Force (IATF) kontra coronavirus disease (COVID-19).",13. Political,13. Political,13. Political,13. Political
"Malinaw na plataporma sa mga kakandidato sa eleksyon 2022, hiling ng isang grupo",13. Political,12. Public Opinion,12. Public Opinion,12. Public Opinion
"SINUSPINDE ngayong araw ng Palasyo ang pasok sa lahat ng antas at maging ang pasok sa mga tanggapan ng gobyerno sa Metro Manila, Calabarzon at Region 3 dahil sa nararanasang ashfall dulot ng pagputok ng Bulkang Taal.",9. Health and Safety,10. Quality of Life,9. Health and Safety,9. Health and Safety
Inihayag ng Department of Education (DepEd) na tutulong ang mga guro sa pampublikong paaralan sa paghahatid ng mga impormasyon ukol sa pagpapabakuna laban sa Covid-19.,2. Capacity and Resources,2. Capacity and Resources,9. Health and Safety,2. Capacity and Resources
Gag order sa isyu ng franchise ng ABS-CBN suportado ng Palasyo,13. Political,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
Empleyado tulungan sa new normal,6. Policy Prescription and Evaluation,10. Quality of Life,10. Quality of Life,10. Quality of Life
10 huli sa anti-drug operation sa QC,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"TATLONG kasapi ng New People’s Army ang napatay at isang sundalo ang nasugatan, nang makasagupa ng mga tropa ng pamahalaan ang rebeldeng grupo sa Bindoy, Negros Oriental.",8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Bagyong Obet palabas na ng bansa, 3 sama ng panahon posibleng magdala ng ulan",9. Health and Safety,10. Quality of Life,9. Health and Safety,9. Health and Safety
"OFWs na nahawa ng COVID 2,140 na",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Nakapagtala ng rockfall event ang Phivolcs sa Bulkang Mayon sa nakalipas na 24 oras.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Pangulong Duterte, walang balak i-ban ang operasyon ng Facebook sa Pilipinas",13. Political,13. Political,13. Political,13. Political
PINALAWIG ng Department of Agriculture ang prize freeze sa mga agricultural products sa Metro Manila.,1. Economic,1. Economic,1. Economic,1. Economic
Kailangan mo bang kumuha ng travel pass kung papasok ka sa trabaho mo?,10. Quality of Life,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Birthday boy Sinas di sisibakin, mahirap siyang palitan–PNP chief",13. Political,13. Political,"7. Law and Order, Crime and Justice",13. Political
PINAGHAHANAP sa bansa ang pari na taga-Spain na inakusahang nang-abuso ng mga menor de edad sa kanilang bansa.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
INIHAYAG ni Inter-Agency Task Force (IATF) spokesperson at Cabinet Secretary Karlo Nograles na bawal na ang pamimili ng tingi sa Balintawak matapos naman ang nangyaring kontroberya kung saan dinumog ito ng mga mamimili kahapon sa kabila ng umiiral na lockdown.,"7. Law and Order, Crime and Justice",9. Health and Safety,9. Health and Safety,9. Health and Safety
"Ito ang paalala ni Preventive Education and Health Reform Advocate Dr. Anthony Leachon kay House Speaker Lord Allan Velasco bilang reaksyon sa naging pahayag nito na priority ang mass vaccination para sa 8,000 mambabatas at kawani ng House of Representatives sa oras na maging available na ang bakuna laban sa COVID-19.",13. Political,9. Health and Safety,9. Health and Safety,9. Health and Safety
QC gov’t nagbigay ng tent para sa mga pasahero ng MRT3,2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
"3 dakip, P102M shabu nasabat sa Cavite","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Echague, Isabela nakapagtala ng pinakamataas na temperatura kahapon",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Nanawagan si Transportation Secretary Arthur Tugade sa mga tsuper ng mga pampublikong sasakyan (PUVs) na magpa-rehistro at lumahok sa “Service Contracting Program” na isinusulong ng Land Transportation Franchising and Regulatory Board (LTFRB).,10. Quality of Life,10. Quality of Life,6. Policy Prescription and Evaluation,10. Quality of Life
NAGBANTA si Pangulong Duterte sa New People’s Army (NPA) na mapipilitan siyang magdeklara ng martial law dahil sa patuloy na pag-atake ng rebeldeng grupo.,8. Security and Defense,13. Political,8. Security and Defense,8. Security and Defense
DAHIL sa masamang panahon at patuloy na pag-ulan sa ilang bahagi ng bansa ay nagsuspinde na ng klase ang mga paaralan sa ilang probinsya sa Visayas.,9. Health and Safety,10. Quality of Life,9. Health and Safety,9. Health and Safety
National ID kailangan para mapabilis ang tulong ng gobyerno,10. Quality of Life,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
